time,HIA_U_cntl,SWBGT_U_cntl,DISCOIS_U_cntl,TSA_U_cntl,RH2M_cntl,TG_U_cntl,HIA_U_traffic,SWBGT_U_traffic,DISCOIS_U_traffic,TSA_U_traffic,RH2M_traffic,TG_U_traffic
2022-01-01 00:00:00,13.521703,16.9082,12.79492,286.6717,87.04579,285.81744,13.521703,16.9082,12.79492,286.6717,87.04579,285.8711
2022-01-01 01:00:00,13.719227,17.066988,12.971046,286.86923,86.69206,285.811,13.762678,17.100878,13.008828,286.9127,86.59694,285.8884
2022-01-01 02:00:00,13.786898,17.089806,13.0035925,286.9369,86.06038,285.51996,13.833845,17.125364,13.043524,286.98386,85.941956,285.58487
2022-01-01 03:00:00,13.437405,16.687878,12.583859,286.5874,84.677,285.15082,13.467084,16.709967,12.608978,286.6171,84.6,285.21088
2022-01-01 04:00:00,13.1460705,16.36163,12.238682,286.29608,83.592514,284.8784,13.173216,16.381832,12.261818,286.3232,83.52518,284.9358
2022-01-01 05:00:00,13.090962,16.319052,12.190292,286.24097,83.70278,284.42792,13.118973,16.339695,12.213994,286.26898,83.62994,284.48578
2022-01-01 06:00:00,13.008612,16.293692,12.15252,286.1586,84.51699,284.57867,13.036732,16.314808,12.176638,286.18674,84.44935,284.66138
2022-01-01 07:00:00,13.275371,16.526144,12.409841,286.42538,84.41125,284.6671,13.322955,16.56211,12.450725,286.47296,84.29896,284.7876
2022-01-01 08:00:00,13.462803,16.664547,12.567904,286.6128,83.915016,284.9013,13.542603,16.723742,12.63539,286.6926,83.70847,285.071
2022-01-01 09:00:00,13.781796,16.94649,12.877105,286.9318,83.82194,285.91165,13.923948,17.04853,12.993878,287.07394,83.39412,286.143
2022-01-01 10:00:00,14.445611,17.35427,13.36367,287.5956,80.77552,286.49518,14.603263,17.462317,13.488991,287.75327,80.24205,286.74872
2022-01-01 11:00:00,14.752982,17.453045,13.514492,287.90298,78.04267,286.9463,14.883737,17.542536,13.618831,288.03372,77.6181,287.23355
2022-01-01 12:00:00,14.900394,17.422535,13.523138,288.05038,75.59106,287.39554,15.026018,17.509014,13.624336,288.17603,75.20891,287.69635
2022-01-01 13:00:00,15.002945,17.359598,13.495585,288.15295,73.28705,286.7059,15.115136,17.43641,13.586088,288.26514,72.95517,287.01587
2022-01-01 14:00:00,14.191526,16.68165,12.7360525,287.34152,73.80647,285.57953,14.309797,16.760284,12.830169,287.4598,73.423706,285.9129
2022-01-01 15:00:00,13.188722,15.957265,11.886484,286.3387,76.16883,284.50958,13.326968,16.04536,11.99353,286.47696,75.64586,284.89728
2022-01-01 16:00:00,12.292177,15.285387,11.100357,285.44217,77.86965,283.54556,12.469564,15.396556,11.236483,285.61957,77.15306,283.9701
2022-01-01 17:00:00,11.499987,14.719692,10.427464,284.65,79.86427,283.43793,11.708492,14.851208,10.588446,284.8585,79.01611,283.89493
2022-01-01 18:00:00,11.535877,14.979217,10.68169,284.68588,84.14887,283.34512,11.946944,15.226017,10.982938,285.09695,82.14379,283.84982
2022-01-01 19:00:00,11.463307,14.8890915,10.58377,284.6133,83.63351,283.4749,11.773464,15.0797,10.815681,284.92346,82.2069,283.94232
2022-01-01 20:00:00,11.568673,15.008554,10.714936,284.71866,84.16696,283.68198,11.851859,15.185158,10.928498,285.00186,82.90004,284.10104
2022-01-01 21:00:00,11.64202,15.133802,10.846343,284.79202,85.313614,283.82877,11.920971,15.30498,11.053094,285.07098,83.99327,284.23132
2022-01-01 22:00:00,11.680871,15.171552,10.888425,284.83087,85.38602,283.78586,11.929847,15.328097,11.076382,285.07983,84.27369,284.15942
2022-01-01 23:00:00,11.432811,14.957326,10.645013,284.58282,85.41346,283.65942,11.635644,15.0876875,10.801169,284.78564,84.55981,283.97394
2022-01-02 00:00:00,11.329086,14.944803,10.617956,284.4791,86.880424,283.57092,11.586548,15.096552,10.802199,284.73654,85.51914,283.8579
2022-01-02 01:00:00,11.182975,14.788151,10.444433,284.33298,86.313225,283.4239,11.372417,14.901097,10.581647,284.52243,85.34019,283.66965
2022-01-02 02:00:00,10.931538,14.607476,10.232241,284.08154,87.02513,283.29816,11.115596,14.713761,10.362069,284.2656,86.004166,283.49374
2022-01-02 03:00:00,10.804708,14.406151,10.015369,283.9547,85.22138,283.14896,10.909362,14.471321,10.094426,284.05936,84.74368,283.30585
2022-01-02 04:00:00,10.766852,14.314837,9.919481,283.91684,84.06138,282.98663,10.848863,14.368262,9.984031,283.99887,83.739296,283.12042
2022-01-02 05:00:00,10.546004,14.126537,9.701195,283.696,84.047646,282.7786,10.621001,14.173891,9.758864,283.771,83.72435,282.89853
2022-01-02 06:00:00,10.595358,14.213888,9.795325,283.74536,84.953606,282.71878,10.671404,14.264148,9.855829,283.8214,84.66552,282.85913
2022-01-02 07:00:00,10.468583,14.0524845,9.616402,283.6186,83.87741,282.05374,10.544899,14.105413,9.679907,283.6949,83.64432,282.22284
2022-01-02 08:00:00,9.834578,13.442285,8.912475,282.9846,82.25953,281.27405,9.916376,13.50111,8.983528,283.06638,82.06883,281.4805
2022-01-02 09:00:00,9.593806,13.255223,8.688672,282.7438,82.52405,282.43497,9.739366,13.356938,8.812341,282.88937,82.125565,282.69305
2022-01-02 10:00:00,10.353443,13.854309,9.401487,283.50345,81.835556,283.07434,10.592971,13.993359,9.575375,283.74298,80.60206,283.36078
2022-01-02 11:00:00,10.906618,14.229277,9.856279,284.0566,80.06863,283.68304,11.138255,14.356748,10.018037,284.28827,78.77124,284.00394
2022-01-02 12:00:00,11.493726,14.543562,10.258975,284.64374,76.659996,283.8079,11.654259,14.648468,10.387576,284.80426,76.10772,284.12775
2022-01-02 13:00:00,11.310279,14.265089,9.960971,284.46027,74.28479,283.28577,11.430725,14.355118,10.068974,284.58072,74.10362,283.5968
2022-01-02 14:00:00,10.958949,14.018876,9.661022,284.10895,75.12434,282.6123,11.088385,14.112145,9.774052,284.23837,74.863976,282.93066
2022-01-02 15:00:00,10.388739,13.654743,9.208001,283.53873,77.209755,282.11124,10.5254,13.753622,9.327974,283.6754,76.93652,282.46475
2022-01-02 16:00:00,10.0323305,13.4325905,8.930468,283.18234,78.6575,281.581,10.19392,13.549848,9.072792,283.34393,78.33564,281.95657
2022-01-02 17:00:00,9.6311655,13.176998,8.612805,282.78116,80.20568,281.45746,9.800142,13.300931,8.763176,282.95013,79.89134,281.8461
2022-01-02 18:00:00,9.593018,13.200475,8.631907,282.743,81.37211,281.69223,9.748961,13.319891,8.775532,282.89896,81.17731,282.0421
2022-01-02 19:00:00,9.938569,13.544857,9.031187,283.08856,82.59523,281.59073,10.091844,13.65985,9.168835,283.24185,82.329895,281.9138
2022-01-02 20:00:00,9.8180485,13.460432,8.928973,282.96805,82.92805,281.4561,9.94668,13.558642,9.046348,283.09668,82.74136,281.73535
2022-01-02 21:00:00,9.659661,13.371814,8.81772,282.80966,83.83975,281.16586,9.775215,13.458899,8.922,282.9252,83.64536,281.43295
2022-01-02 22:00:00,9.361864,13.1362095,8.536658,282.51187,84.09223,281.11002,9.4711,13.218765,8.63584,282.6211,83.918884,281.36667
2022-01-02 23:00:00,9.35409,13.155443,8.55603,282.5041,84.64787,280.9424,9.460379,13.235755,8.6524,282.61038,84.47507,281.16852
2022-01-03 00:00:00,9.2147455,13.0476675,8.42689,282.36475,84.818,280.90112,9.311369,13.119524,8.513425,282.46136,84.637955,281.09195
2022-01-03 01:00:00,9.140444,12.986673,8.354188,282.29044,84.82992,280.889,9.220261,13.045314,8.42499,282.37027,84.666794,281.0622
2022-01-03 02:00:00,9.111244,12.964017,8.326991,282.26123,84.86301,280.9265,9.181883,13.016115,8.389887,282.33188,84.72331,281.06113
2022-01-03 03:00:00,9.112248,12.938376,8.299813,282.26224,84.28076,280.87036,9.165715,12.976711,8.34633,282.3157,84.15307,280.9887
2022-01-03 04:00:00,9.045704,12.840971,8.188985,282.1957,83.34168,280.70868,9.0937805,12.875212,8.230711,282.24377,83.2254,280.81595
2022-01-03 05:00:00,8.921076,12.735872,8.063295,282.07108,83.27895,280.48193,8.967112,12.76835,8.102993,282.11713,83.16193,280.58398
2022-01-03 06:00:00,8.811574,12.695542,8.008533,281.96158,84.38614,280.36786,8.862989,12.731775,8.0527525,282.013,84.25165,280.4959
2022-01-03 07:00:00,8.571404,12.459116,7.7287736,281.7214,83.48229,280.26187,8.633154,12.50309,7.782673,281.78314,83.33738,280.4236
2022-01-03 08:00:00,8.544316,12.401435,7.663502,281.6943,82.668365,280.12888,8.63104,12.462471,7.738604,281.78104,82.45358,280.33694
2022-01-03 09:00:00,8.588277,12.45248,7.723311,281.73828,83.01768,281.13318,8.749437,12.5614195,7.857822,281.89944,82.5125,281.40717
2022-01-03 10:00:00,9.319858,12.636458,8.012934,282.46985,74.0076,282.02704,9.490193,12.736814,8.142376,282.6402,73.24477,282.3098
