value,hour,site,season,var
0.4735557,0,FR-Cap,Summer,TRAFFICFLUX
0.47441503,1,FR-Cap,Summer,TRAFFICFLUX
0.15786698,2,FR-Cap,Summer,TRAFFICFLUX
0.15788803,3,FR-Cap,Summer,TRAFFICFLUX
0.05269447,4,FR-Cap,Summer,TRAFFICFLUX
5.4586857e-05,5,FR-Cap,Summer,TRAFFICFLUX
0.0,6,FR-Cap,Summer,TRAFFICFLUX
0.1057595,7,FR-Cap,Summer,TRAFFICFLUX
0.47355148,8,FR-Cap,Summer,TRAFFICFLUX
0.7889795,9,FR-Cap,Summer,TRAFFICFLUX
1.0,10,FR-Cap,Summer,TRAFFICFLUX
0.7889816,11,FR-Cap,Summer,TRAFFICFLUX
0.7889964,12,FR-Cap,Summer,TRAFFICFLUX
0.78896016,13,FR-Cap,Summer,TRAFFICFLUX
0.63122165,14,FR-Cap,Summer,TRAFFICFLUX
0.7104893,15,FR-Cap,Summer,TRAFFICFLUX
0.7899783,16,FR-Cap,Summer,TRAFFICFLUX
0.6318996,17,FR-Cap,Summer,TRAFFICFLUX
0.78896683,18,FR-Cap,Summer,TRAFFICFLUX
0.68435264,19,FR-Cap,Summer,TRAFFICFLUX
0.63149315,20,FR-Cap,Summer,TRAFFICFLUX
0.6312206,21,FR-Cap,Summer,TRAFFICFLUX
0.6354965,22,FR-Cap,Summer,TRAFFICFLUX
0.4738903,23,FR-Cap,Summer,TRAFFICFLUX
0.62435913,0,FR-Cap,Summer,TG_U
0.61294556,1,FR-Cap,Summer,TG_U
0.54766846,2,FR-Cap,Summer,TG_U
0.51013184,3,FR-Cap,Summer,TG_U
0.44586182,4,FR-Cap,Summer,TG_U
0.38858032,5,FR-Cap,Summer,TG_U
0.3687744,6,FR-Cap,Summer,TG_U
0.37051392,7,FR-Cap,Summer,TG_U
0.43615723,8,FR-Cap,Summer,TG_U
0.5214844,9,FR-Cap,Summer,TG_U
0.6550293,10,FR-Cap,Summer,TG_U
0.66519165,11,FR-Cap,Summer,TG_U
0.6765137,12,FR-Cap,Summer,TG_U
0.66064453,13,FR-Cap,Summer,TG_U
0.62371826,14,FR-Cap,Summer,TG_U
0.6204834,15,FR-Cap,Summer,TG_U
0.63204956,16,FR-Cap,Summer,TG_U
0.6130371,17,FR-Cap,Summer,TG_U
0.6343384,18,FR-Cap,Summer,TG_U
0.63378906,19,FR-Cap,Summer,TG_U
0.6308594,20,FR-Cap,Summer,TG_U
0.64172363,21,FR-Cap,Summer,TG_U
0.65982056,22,FR-Cap,Summer,TG_U
0.6370239,23,FR-Cap,Summer,TG_U
0.366333,0,FR-Cap,Summer,TSA_U
0.36053467,1,FR-Cap,Summer,TSA_U
0.35803223,2,FR-Cap,Summer,TSA_U
0.31054688,3,FR-Cap,Summer,TSA_U
0.28198242,4,FR-Cap,Summer,TSA_U
0.2468872,5,FR-Cap,Summer,TSA_U
0.23736572,6,FR-Cap,Summer,TSA_U
