month,TSA_U_cntl,TBUILD_cntl,TG_U_cntl,TSA_U_traffic,TBUILD_traffic,TG_U_traffic,outdoor_indoor_cntl,outdoor_indoor_traffic,TGMNAV_U_cntl,TGMXAV_U_cntl,TREFMXAV_U_cntl,TREFMNAV_U_cntl,TGMNAV_U_traffic,TGMXAV_U_traffic,TREFMXAV_U_traffic,TREFMNAV_U_traffic,TG_daynight_cntl,TG_daynight_traffic,TSA_daynight_cntl,TSA_daynight_traffic
1,5.8111744,11.950035,5.6780896,6.3784275,11.951697,6.430495,-6.1388597,-5.5732703,1.933324,11.497117,9.294834,3.100197,2.6559873,12.264533,9.713933,3.6537101,9.563792,9.608546,6.1946373,6.060223
2,5.2362795,11.950012,5.6886005,5.634785,11.950636,6.2942224,-6.7137327,-6.315851,1.497296,13.656822,9.50783,2.9182794,2.0453186,14.295203,9.83582,3.3868048,12.159526,12.249885,6.5895505,6.449015
3,10.039447,13.134769,11.738712,10.39268,13.313963,12.308396,-3.0953224,-2.9212825,4.5670943,24.234447,15.230643,5.842275,5.0385723,24.856493,15.529846,6.2216425,19.667355,19.81792,9.388368,9.308204
4,12.886469,14.445519,14.985774,13.193615,14.761338,15.511022,-1.5590503,-1.5677236,7.4320555,27.058971,17.77859,8.662198,7.865685,27.637142,18.037601,8.96997,19.626917,19.771458,9.116392,9.067631
5,17.541105,19.132153,21.127003,17.817484,19.481813,21.644049,-1.5910485,-1.66433,10.976097,36.808754,23.606508,12.208489,11.359016,37.38889,23.848543,12.4466505,25.832657,26.029871,11.398019,11.401893
6,23.832697,25.42825,28.477577,24.088213,25.78986,28.982145,-1.5955535,-1.7016479,16.838722,45.333633,30.425743,17.796146,17.183634,45.88841,30.665508,17.99669,28.494913,28.704773,12.629596,12.668819
7,24.349508,25.986197,28.654463,24.65697,26.414906,29.254963,-1.6366858,-1.7579381,17.73298,45.2977,30.7733,18.659931,18.139734,45.94716,31.054598,18.896906,27.564716,27.807423,12.113369,12.157693
8,24.476185,26.040426,27.562279,24.816868,26.505066,28.189837,-1.5642424,-1.6881995,18.004742,42.817524,30.750359,19.141712,18.47134,43.52165,31.053852,19.4462,24.812784,25.050308,11.608645,11.607655
9,21.448,22.7298,23.701202,21.836004,23.23916,24.373957,-1.2817999,-1.4031552,15.106042,38.005997,27.66892,16.51427,15.607989,38.719994,27.987171,16.852137,22.899956,23.112003,11.154649,11.135035
10,16.998693,17.982332,17.819542,17.514334,18.539816,18.554567,-0.9836374,-1.0254817,12.307159,27.690825,21.79396,13.367278,12.919577,28.511738,22.203331,13.928816,15.383666,15.592162,8.426682,8.274515
11,8.037244,12.001227,8.142121,8.635379,12.057957,8.928633,-3.9639833,-3.4225774,4.2445974,14.315572,11.462938,5.311894,4.9629016,15.086111,11.8706665,5.8760815,10.070974,10.12321,6.151045,5.994585
12,7.263919,11.958478,7.1268134,7.802605,11.9665575,7.834914,-4.694559,-4.1639533,4.100958,11.6101055,10.021598,4.87012,4.645824,12.390919,10.466421,5.3644066,7.509147,7.745095,5.1514773,5.1020145
