month,TSA_U_cntl,TBUILD_cntl,TG_U_cntl,TSA_U_traffic,TBUILD_traffic,TG_U_traffic,outdoor_indoor_cntl,outdoor_indoor_traffic,TGMNAV_U_cntl,TGMXAV_U_cntl,TREFMXAV_U_cntl,TREFMNAV_U_cntl,TGMNAV_U_traffic,TGMXAV_U_traffic,TREFMXAV_U_traffic,TREFMNAV_U_traffic,TG_daynight_cntl,TG_daynight_traffic,TSA_daynight_cntl,TSA_daynight_traffic
1,5.509286,16.950012,4.9726562,5.860288,16.950012,5.471256,-11.440726,-11.089724,2.300158,8.16087,8.153376,2.968301,2.742287,8.716318,8.472425,3.3321316,5.860712,5.9740314,5.1850743,5.140294
2,7.503757,16.950012,6.79815,7.715301,16.950012,7.145034,-9.446256,-9.234712,3.8957791,10.155286,9.991365,4.9282846,4.2242465,10.5189085,10.16848,5.261468,6.259506,6.2946625,5.063081,4.907012
3,8.908651,16.950012,9.199816,9.125525,16.950012,9.586072,-8.041361,-7.8244867,3.381514,17.134909,13.823826,4.3166327,3.6932008,17.516611,13.92902,4.6025577,13.753395,13.823411,9.507194,9.326463
4,10.789529,16.963062,11.787928,10.950852,16.96763,12.126372,-6.1735334,-6.016779,5.021863,20.80059,15.709046,5.9329348,5.273626,21.153011,15.783583,6.185023,15.7787285,15.879386,9.776112,9.598559
5,13.954983,17.024183,14.845215,14.105767,17.03986,15.150421,-3.0692022,-2.9340928,9.0213375,22.255276,17.957506,9.742521,9.287904,22.569622,18.026752,10.004151,13.233939,13.281717,8.214985,8.022601
6,15.986613,17.766642,17.465414,16.124313,17.845076,17.758823,-1.780029,-1.720762,10.107945,26.32354,20.452568,10.927618,10.359872,26.625164,20.51853,11.168224,16.215593,16.265293,9.52495,9.350307
7,18.46519,19.46936,19.714333,18.63604,19.62845,20.016487,-1.00417,-0.99240905,13.318964,27.572302,22.54476,14.074831,13.579753,27.882984,22.63576,14.332692,14.253338,14.30323,8.469931,8.303068
8,19.104904,20.23517,20.30772,19.293997,20.440104,20.64651,-1.1302669,-1.1461055,13.218949,29.264915,23.999031,13.957656,13.51534,29.596191,24.070082,14.253405,16.045967,16.08085,10.041376,9.816678
9,15.0629015,17.747454,15.332811,15.33285,17.862011,15.72265,-2.684551,-2.529162,10.236181,22.556337,19.562334,10.994429,10.578638,22.931013,19.659388,11.345545,12.320156,12.352375,8.567904,8.313842
10,12.61566,16.950012,12.128167,13.033767,16.950012,12.612786,-4.3343525,-3.916245,8.774535,16.48347,15.922613,9.543956,9.220433,16.97556,16.179592,10.072139,7.708936,7.755126,6.3786573,6.1074533
11,9.275155,16.950012,8.639837,9.669256,16.950012,9.11073,-7.6748576,-7.2807555,6.2826557,11.568067,11.876243,6.969354,6.77672,12.013963,12.13512,7.4711895,5.2854104,5.2372427,4.906889,4.6639314
12,4.1030126,16.950012,3.54338,4.618497,16.950012,4.156442,-12.846999,-12.331515,1.329831,6.2713723,6.545203,1.949012,1.8643681,7.08994,7.195038,2.4544816,4.941541,5.225572,4.5961914,4.7405562
