month,case,site,variable,value
1,AH4GUC,FR-Capitole,AHF,48.10851
1,AH4GUC,FR-Capitole,traffic_contribution,
1,AH4GUC,UK-Manchester,AHF,23.91677
1,AH4GUC,UK-Manchester,traffic_contribution,
1,cntl,FR-Capitole,AHF,19.617936057728336
1,cntl,FR-Capitole,traffic_contribution,0.0
1,cntl,UK-Manchester,AHF,21.60016829095861
1,cntl,UK-Manchester,traffic_contribution,
1,traffic,FR-Capitole,AHF,39.675405090214106
1,traffic,FR-Capitole,traffic_contribution,57.1859809828845
1,traffic,UK-Manchester,AHF,38.189580779569894
1,traffic,UK-Manchester,traffic_contribution,42.827780588718575
2,AH4GUC,FR-Capitole,AHF,48.22127
2,AH4GUC,FR-Capitole,traffic_contribution,
2,AH4GUC,UK-Manchester,AHF,24.29349
2,AH4GUC,UK-Manchester,traffic_contribution,
2,cntl,FR-Capitole,AHF,20.616139581771684
2,cntl,FR-Capitole,traffic_contribution,0.0
2,cntl,UK-Manchester,AHF,17.85567478622709
2,cntl,UK-Manchester,traffic_contribution,
2,traffic,FR-Capitole,AHF,41.23628271627662
2,traffic,FR-Capitole,traffic_contribution,54.283043047624794
2,traffic,UK-Manchester,AHF,34.73934534077381
2,traffic,UK-Manchester,traffic_contribution,46.451775649990445
3,AH4GUC,FR-Capitole,AHF,44.45487
3,AH4GUC,FR-Capitole,traffic_contribution,
3,AH4GUC,UK-Manchester,AHF,24.57351
3,AH4GUC,UK-Manchester,traffic_contribution,
3,cntl,FR-Capitole,AHF,7.464840598614706
3,cntl,FR-Capitole,traffic_contribution,0.0
3,cntl,UK-Manchester,AHF,14.136164060523432
3,cntl,UK-Manchester,traffic_contribution,
3,traffic,FR-Capitole,AHF,28.772330082552408
3,traffic,FR-Capitole,traffic_contribution,80.18772934506322
3,traffic,UK-Manchester,AHF,30.923987761424733
3,traffic,UK-Manchester,traffic_contribution,53.01561503716597
4,AH4GUC,FR-Capitole,AHF,42.32866
4,AH4GUC,FR-Capitole,traffic_contribution,
4,AH4GUC,UK-Manchester,AHF,22.43931
4,AH4GUC,UK-Manchester,traffic_contribution,
4,cntl,FR-Capitole,AHF,1.0735962626084479
4,cntl,FR-Capitole,traffic_contribution,0.0
4,cntl,UK-Manchester,AHF,10.188175665879518
4,cntl,UK-Manchester,traffic_contribution,
4,traffic,FR-Capitole,AHF,23.01128211948607
4,traffic,FR-Capitole,traffic_contribution,96.3384007076174
4,traffic,UK-Manchester,AHF,27.085568430416668
4,traffic,UK-Manchester,traffic_contribution,61.28851394301053
5,AH4GUC,FR-Capitole,AHF,41.41099
5,AH4GUC,FR-Capitole,traffic_contribution,
5,AH4GUC,UK-Manchester,AHF,20.98508
5,AH4GUC,UK-Manchester,traffic_contribution,
5,cntl,FR-Capitole,AHF,0.5498678103994994
5,cntl,FR-Capitole,traffic_contribution,0.0
5,cntl,UK-Manchester,AHF,4.059827594065248
5,cntl,UK-Manchester,traffic_contribution,
5,traffic,FR-Capitole,AHF,22.592837928443828
5,traffic,FR-Capitole,traffic_contribution,97.78664178808495
5,traffic,UK-Manchester,AHF,21.01690932016129
5,traffic,UK-Manchester,traffic_contribution,78.02290855139354
6,AH4GUC,FR-Capitole,AHF,36.99039
6,AH4GUC,FR-Capitole,traffic_contribution,
6,AH4GUC,UK-Manchester,AHF,19.49859
6,AH4GUC,UK-Manchester,traffic_contribution,
6,cntl,FR-Capitole,AHF,0.13919185264233722
6,cntl,FR-Capitole,traffic_contribution,0.0
6,cntl,UK-Manchester,AHF,1.4101905028772055
6,cntl,UK-Manchester,traffic_contribution,
6,traffic,FR-Capitole,AHF,22.310314314232933
6,traffic,FR-Capitole,traffic_contribution,99.22306563243342
6,traffic,UK-Manchester,AHF,18.50626172
6,traffic,UK-Manchester,traffic_contribution,91.07671250561509
7,AH4GUC,FR-Capitole,AHF,36.10105
7,AH4GUC,FR-Capitole,traffic_contribution,
7,AH4GUC,UK-Manchester,AHF,17.53218
7,AH4GUC,UK-Manchester,traffic_contribution,
7,cntl,FR-Capitole,AHF,0.15160237162928494
7,cntl,FR-Capitole,traffic_contribution,0.0
7,cntl,UK-Manchester,AHF,0.06723503219664738
7,cntl,UK-Manchester,traffic_contribution,
7,traffic,FR-Capitole,AHF,22.33317403863835
7,traffic,FR-Capitole,traffic_contribution,99.10196019427275
7,traffic,UK-Manchester,AHF,17.263933426478495
7,traffic,UK-Manchester,traffic_contribution,99.52639854263651
8,AH4GUC,FR-Capitole,AHF,35.45168
8,AH4GUC,FR-Capitole,traffic_contribution,
8,AH4GUC,UK-Manchester,AHF,18.27031
8,AH4GUC,UK-Manchester,traffic_contribution,
8,cntl,FR-Capitole,AHF,0.15315147769691856
8,cntl,FR-Capitole,traffic_contribution,0.0
8,cntl,UK-Manchester,AHF,0.008508288618853135
8,cntl,UK-Manchester,traffic_contribution,
8,traffic,FR-Capitole,AHF,22.352901639156443
8,traffic,FR-Capitole,traffic_contribution,99.01904302606286
8,traffic,UK-Manchester,AHF,17.22725387795699
